"Genes","E.MTAB.386_eset","GSE13876_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","GSE32062.GPL6480_eset","Pooled.Cox.Coefficient","P","FDR"
"N4BP2L2","ILMN_1797893","5044","A_24_P935735","202258_s_at","202258_s_at","202258_s_at","202258_s_at","202258_s_at","A_23_P53856",0.143080776802917,0.000287145895464081,0.0360761896930586
"CTNNBL1","ILMN_1728627","23799","A_23_P68401","221021_s_at","221021_s_at","221021_s_at","221021_s_at","221021_s_at","A_23_P68401",0.144570633408697,0.000291587901093471,0.0360761896930586
"PDE1A","ILMN_1778924","18193","A_23_P79272","208396_s_at","208396_s_at","208396_s_at","208396_s_at","208396_s_at","A_23_P79272",0.132677367514398,0.000292886591580244,0.0360761896930586
"APBB2","ILMN_1716790","33338","A_24_P234701","212985_at","212970_at","212985_at","212970_at","212970_at","A_23_P10701",0.138508498148169,0.00030267596377737,0.0366994606080061
"GSTZ1","ILMN_1711642","25181","A_23_P106204","209531_at","209531_at","209531_at","209531_at","209531_at","A_23_P106204",-0.139021297115769,0.000312360221536759,0.0372910049096193
"SEMA4F","ILMN_1805007","26967","A_32_P195065","210124_x_at","210124_x_at","210124_x_at","210124_x_at","210124_x_at","A_23_P165608",0.137507768239278,0.000334347909020008,0.0374913134979582
"SIRT5","ILMN_1683059","7281","A_23_P214812","219185_at","219185_at","219185_at","219185_at","219185_at","A_23_P214812",-0.139418924646045,0.000340464431406741,0.0374913134979582
"ADARB1","ILMN_1679797","16472","A_24_P936556","203865_s_at","203865_s_at","203865_s_at","203865_s_at","203865_s_at","A_23_P211207",0.140111473260793,0.000344772335579451,0.0374913134979582
"SLC20A2","ILMN_1813763","9988","A_23_P94921","231818_x_at","202744_at","231818_x_at","202744_at","202744_at","A_23_P94921",0.140697551447022,0.000345418718971034,0.0374913134979582
"MAN1B1","ILMN_1771957","24985","A_23_P94857","218636_s_at","218636_s_at","218636_s_at","218636_s_at","218636_s_at","A_23_P94857",-0.143312797073271,0.000346458575505349,0.0374913134979582
"RB1","ILMN_1696591","34839","A_24_P102636","203132_at","203132_at","203132_at","203132_at","203132_at","A_23_P204850",0.143835783936526,0.000347540042777413,0.0374913134979582
"GGNBP2","ILMN_1725620","25873","A_24_P67976","218079_s_at","218079_s_at","218079_s_at","218079_s_at","218079_s_at","A_24_P67976",0.148552140404221,0.0003478575479192,0.0374913134979582
"FSTL1","ILMN_1715426","16954","A_23_P212696","208782_at","208782_at","208782_at","208782_at","208782_at","A_23_P212696",0.142580914221268,0.000357776137548392,0.0380320935256921
"NINJ1","ILMN_1815086","23798","A_23_P169137","203045_at","203045_at","203045_at","203045_at","203045_at","A_23_P169137",-0.137515416002453,0.00036876452561823,0.0384315160945694
"B4GALT5","ILMN_1653749","8292","A_24_P239731","221485_at","221484_at","221485_at","221484_at","221484_at","A_24_P365469",0.141881818546306,0.000371438622048029,0.0384315160945694
"SAT1","ILMN_1753342","12006","A_23_P378722","203455_s_at","210592_s_at","203455_s_at","210592_s_at","210592_s_at","A_23_P137016",-0.131073445803966,0.000401651684465908,0.0410107509402033
"FXYD1","ILMN_1683176","11992","A_23_P108216","205384_at","205384_at","205384_at","205384_at","205384_at","A_23_P108216",0.134647876299089,0.000414530100669964,0.0415667604264627
"ST6GAL1","ILMN_1756501","13374","A_24_P388528","201998_at","201998_at","201998_at","201998_at","201998_at","A_24_P388528",-0.134186516790321,0.000420132293794215,0.0415667604264627
"CUX1","ILMN_1744659","8314","A_24_P691604","214743_at","214743_at","214743_at","214743_at","214743_at","A_23_P253375",0.142967289139776,0.000423166762073525,0.0415667604264627
"RECQL","ILMN_1692705","26858","A_23_P25215","212918_at","212918_at","212918_at","212918_at","212918_at","A_23_P25215",0.133790167547547,0.000438084448219137,0.0424004345224975
"SPDEF","ILMN_1691837","2579","A_23_P111194","213441_x_at","220192_x_at","213441_x_at","220192_x_at","220192_x_at","A_23_P111194",-0.139443737902505,0.000445611469948192,0.0424004345224975
"DCN","ILMN_1666672","792","A_23_P64873","201893_x_at","201893_x_at","201893_x_at","201893_x_at","201893_x_at","A_23_P64873",0.143562164974662,0.000448045828717113,0.0424004345224975
"TAP1","ILMN_1751079","35851","A_23_P59005","202307_s_at","202307_s_at","202307_s_at","202307_s_at","202307_s_at","A_23_P59005",-0.128289607673929,0.000471070454286815,0.043567360483179
"ALDH1A2","ILMN_1748538","23772","A_24_P73577","207015_s_at","207016_s_at","207015_s_at","207016_s_at","207016_s_at","A_24_P73577",0.128250691143282,0.000471605448529257,0.043567360483179
"CLDN10","ILMN_1721818","8928","A_23_P48350","205328_at","205328_at","205328_at","205328_at","205328_at","A_23_P48350",-0.138015381256407,0.000486758284327278,0.0444381680750551
"CHD1","ILMN_1654583","14545","A_23_P70201","204258_at","204258_at","204258_at","204258_at","204258_at","A_23_P70201",0.137213856158969,0.00049583683380301,0.0445461875313451
"SDF2","ILMN_1713978","16741","A_23_P118705","203090_at","203090_at","203090_at","203090_at","203090_at","A_23_P118705",0.135924026126938,0.000501650371898363,0.0445461875313451
"COL16A1","ILMN_1684554","21226","A_23_P160318","204345_at","204345_at","204345_at","204345_at","204345_at","A_23_P160318",0.132995996600532,0.000505162951386387,0.0445461875313451
"CD38","ILMN_1754039","19018","A_23_P167328","205692_s_at","205692_s_at","205692_s_at","205692_s_at","205692_s_at","A_23_P167328",-0.140018387211475,0.000530206601123523,0.0460751011258315
"LTBP1","ILMN_1656321","989","A_23_P43810","202729_s_at","202729_s_at","202729_s_at","202729_s_at","202729_s_at","A_23_P43810",0.127874524066517,0.000534376172851139,0.0460751011258315
"CILP","ILMN_1723847","14448","A_23_P151895","206227_at","206227_at","206227_at","206227_at","206227_at","A_23_P151895",0.131486935116437,0.000554118430219797,0.0472089982421888
"MATN3","ILMN_1663171","26140","A_23_P102058","206091_at","206091_at","206091_at","206091_at","206091_at","A_23_P102058",0.126603246381588,0.000565362874719811,0.0472089982421888
"GSTP1","ILMN_1679809","25930","A_23_P202658","200824_at","200824_at","200824_at","200824_at","200824_at","A_23_P202658",-0.129786677592341,0.000571324486849102,0.0472089982421888
"CDC23","ILMN_1799688","2428","A_24_P913227","202892_at","202892_at","202892_at","202892_at","202892_at","A_23_P133629",0.135922962198541,0.00057186157664507,0.0472089982421888
"APPL2","ILMN_1765076","24600","A_23_P105747","218218_at","218218_at","218218_at","218218_at","218218_at","A_23_P105747",0.13595836997058,0.000600257837670516,0.0478153988048046
"NR1H3","ILMN_1814022","6288","A_23_P47135","203920_at","203920_at","203920_at","203920_at","203920_at","A_23_P47135",-0.136814259696334,0.000611784868293822,0.0478153988048046
"SYDE1","ILMN_1755822","32261","A_23_P101796","44702_at","44702_at","44702_at","44702_at","44702_at","A_23_P101796",0.131354298912473,0.000620139284539363,0.0478153988048046
"ITSN1","ILMN_1718769","28550","A_24_P918500","35776_at","35776_at","35776_at","35776_at","35776_at","A_24_P111061",0.134769443094272,0.000621395731811779,0.0478153988048046
"KIF20B","ILMN_1712452","12087","A_23_P75071","205235_s_at","205235_s_at","205235_s_at","205235_s_at","205235_s_at","A_23_P75071",0.124562966359396,0.000623361518125645,0.0478153988048046
"LTA4H","ILMN_1690342","20643","A_23_P388670","208771_s_at","208771_s_at","208771_s_at","208771_s_at","208771_s_at","A_23_P388670",0.138533784785592,0.000624664617593249,0.0478153988048046
"PDGFRA","ILMN_1681949","15189","A_23_P332536","203131_at","203131_at","203131_at","203131_at","203131_at","A_23_P300033",0.13491619294279,0.000628132570113987,0.0478153988048046
"HLA.DOA","ILMN_1659075","4964","A_23_P30927","226878_at","206313_at","226878_at","206313_at","206313_at","A_24_P354800",-0.134081996187719,0.000628501376042535,0.0478153988048046
"PALLD","ILMN_1698732","12790","A_23_P213102","200897_s_at","200897_s_at","200897_s_at","200897_s_at","200897_s_at","A_23_P213102",0.133986695641598,0.000657408445137205,0.0493815150514094
