"","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Weighted.Mean","FDR"
"SH3PXD2A",1.05551516949574,1.14186705722267,1.16694222232098,1.01266372407058,1.13909672913813,1.24148198273153,1.14970442839309,1.07580835180412,1.11215446434101,0.217376694966834
"WDR59",-1.02260874014635,-1.15273726873255,-1.3379040017661,-1.04054718004874,-1.02447176955248,1.05550893641188,-1.23262815086242,-1.19993317751548,-1.1121164706744,0.17499660453773
"LIMA1",-1.01404365179842,1.19729047137841,-1.05663931566073,1.05247555971214,1.13974218964378,1.18728669614447,1.08738059749148,1.23315934237759,1.10920901861607,0.230855091330876
"AP3B2",1.12401847975354,1.06443598139144,-1.18037322479297,1.00997663688738,-1.81404537972362,-1.10210945629211,1.06709213967003,-1.15445167548866,-1.10920382586996,0.0632319312491917
"STK3",1.06296811404585,1.06926113327804,1.26656598482801,1.10212858339168,-1.01783188989882,1.14168940124119,1.02019832569786,1.15692946384867,1.10676132789785,0.217376694966834
"BAIAP3",-1.00702886261093,1.09629693898756,-1.60451641379686,-1.06495075924089,-1.40669195609136,-1.10241386995781,1.03822276194627,1.01078557456611,-1.10604423505371,0.217376694966834
"GAS8",-1.06106943299368,1.07461607374844,-1.35670723014175,-1.11733595699686,-1.14515297637609,1.02805098874554,-1.04364155572647,-1.16734264199746,-1.1054873295502,0.0588948477781792
"VCL",1.06513016083276,-1.07875235359876,1.06428840123723,1.10515762137732,1.07284023978562,1.16629486754678,1.18816577822956,1.17794729654889,1.1045018287505,0.178425356041516
"PTS",1.04975574582481,1.07719990083241,1.22326257583537,1.02812935160134,1.10482429828677,-1.01366004987757,1.18944299048543,1.18082171116625,1.10406839455951,0.179329845577877
"SUMO3",1.15633801013898,1.07265051917552,1.13804111714963,1.05482297058309,1.04573745175368,-1.00800304600805,1.09290805029423,1.20260335463993,1.1020898407999,0.228040957203684
"C4BPA",-1.00088286546239,1.01361922264256,-1.2651255316684,-1.07234694768385,-1.00177650351157,-1.01524115905418,-1.33989271195669,-1.17525909756167,-1.10159700321017,0.178425356041516
"CYP17A1",-1.04432459772552,1.0721380506871,-1.11288040021463,-1.10920659748322,-1.53467493969909,1.0060794909985,1.00824411190703,-1.11329660802196,-1.10156808967237,0.217376694966834
"WSB2",1.04633633566549,1.1007472269678,1.11870289167075,1.2120587018726,1.1163712183691,1.00546394822381,-1.01540559197738,1.1473382173598,1.10029609790718,0.178425356041516
"PDPR",-1.07622509440141,1.02955884908696,-1.47045640835346,-1.08866638608204,-1.02710546902278,1.03397450795327,-1.27747250306027,-1.06626642051009,-1.09960145504737,0.216402818325509
"SMAD1",-1.00881658908273,1.12615930337057,1.11828557460445,1.2804836670926,-1.00289325573883,1.0772819848334,1.20800654471723,1.06141612623423,1.09913573767344,0.217376694966834
"MACROD1",-1.18143580334056,-1.22033355140372,-1.0693367254461,-1.08872234477832,-1.08519638184014,1.02841341103036,1.11743336481258,-1.20641797814062,-1.09883837869573,0.178425356041516
"PIGL",-1.11738080876138,-1.25989293114788,-1.10233435583655,-1.04100601678282,-1.10192832210884,-1.05159926142807,-1.06432041310569,-1.10522531821058,-1.09868882581004,0.223986431757889
"PTCH1",-1.06379398412483,-1.08348713823683,-1.11124093867844,-1.16964793233777,1.07382606866502,-1.07928669504073,-1.19347403672172,-1.1350513633924,-1.09648045261702,0.216402818325509
"IGF1R",1.01080001910482,-1.16281065246737,-1.16552297016538,-1.11283623434943,-1.08740671859852,-1.18277249114025,1.03730925696999,-1.09606618475611,-1.09587695518291,0.223986431757889
"CYP27B1",1.10324410510441,1.02093284654774,-1.18637703890166,-1.02625767133078,-1.45906452786551,-1.1532174340505,-1.06012438781638,-1.07807674858391,-1.09562222960199,0.17499660453773
"RIC3",-1.04276569579812,1.20969133225077,-1.31407852291229,-1.06011594696686,-1.43648476406807,-1.08855857490316,-1.11736166859333,-1.00672686820702,-1.09444800019336,0.178425356041516
"LPAR1",1.15948463098759,-1.01969085688908,1.04751154398054,-1.11667733141019,1.28430274273535,1.37300608789484,-1.04290397029999,1.09388025647787,1.09383098592594,0.217376694966834
"ZNF706",1.03706902484231,1.06560384255622,1.15263421797633,1.09243094589907,1.01588207605721,1.08925535067254,1.07493363277471,1.16044220968788,1.09331525777599,0.158188197516662
"SOX15",1.019356329715,-1.0540886989538,-1.0814545322364,-1.05689454543453,-1.27513005603746,-1.12848888114621,1.05900146116157,-1.15811768130458,-1.09292192676345,0.229197758837106
"GSN",1.08536278188244,1.0578775972133,1.05562388192717,1.17737174032324,-1.01891836355109,1.05307233902336,1.06036839490247,1.17392267610836,1.09207338270035,0.217376694966834
"NOL3",-1.11538266295045,1.07308305001781,-1.39892787658148,-1.11244165883068,-1.17295733627762,1.03172905545075,1.06567367051432,-1.08941299647664,-1.09169082431596,0.156514453792417
"CHST10",-1.05829171813551,-1.1477849805102,-1.23884839801996,-1.077027737109,-1.08394489674341,-1.07956434317341,1.07241262471392,-1.10340174028622,-1.09166349252477,0.104793147210085
"TMEM165",1.0543495041111,1.20425134950336,1.16003585140717,1.08358571218076,1.11236163977649,1.11123018924717,-1.09120269600594,1.08891455042901,1.0909868550703,0.127643927383826
"TMC6",1.0907956974322,-1.08056130927478,1.26246069050651,-1.00046135307318,1.04824504141778,1.06238616521847,1.12832868448063,1.16938352002043,1.09077893470703,0.178425356041516
"VTI1B",-1.00572402691247,1.11508309660304,1.08501090092136,1.0790067605342,1.0781789774476,1.03186429354918,1.04844655009636,1.20761399823298,1.08990940257257,0.174861692059593
"CYP2B6",1.02106320495506,1.0541043606912,-1.17203688726991,-1.10744289673894,-1.2352558898054,-1.05569860607985,-1.08573677467745,-1.11064469048999,-1.08962413012906,0.178425356041516
"ATP2B1",1.12736222134832,-1.11241805183724,1.17974201065316,1.21383022128955,-1.09636150719614,1.1493323561679,-1.17948298676754,1.20448950301167,1.08895355495463,0.179329845577877
"EHD4",1.14449248811549,1.11047453240958,1.11993934808768,1.08707552296179,1.07377645173189,1.02813064959106,1.13300907868378,1.06044077076707,1.08821463768978,0.217376694966834
"RANBP10",-1.02872928840435,-1.1613929967356,-1.35399677413481,-1.04765853315463,-1.09333862954099,1.07224897228236,-1.0895700984675,-1.09080381575062,-1.08814582099639,0.0836995575809362
"PARD6A",-1.06494575677232,1.01135924938088,-1.1567566863559,-1.00050309639802,-1.24446117187633,-1.05158930167379,-1.01998556286439,-1.13611149335939,-1.08722324079675,0.217376694966834
"CD82",1.2355413539394,1.24716977418245,1.32792829954504,-1.02895796145946,-1.14030117558193,1.00883759506186,1.09383842080148,1.08470275272904,1.08710403088421,0.221528849295839
"TTLL1",-1.03946924544499,-1.08378654930545,-1.32558440941911,-1.02272324770106,-1.13939836969068,-1.12340832949344,1.00473597649981,-1.03063905961964,-1.08553374138017,0.217376694966834
