"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"SARM1","ILMN_1746265","2241","A_24_P267293","213259_s_at","213259_s_at","A_24_P267293","213259_s_at","213259_s_at","213259_s_at",-0.228115833268769,0.0799553595694039,-0.121317947429789,0.00100153118258922,0.0912659436149834
"EMC2","ILMN_1777366","23464","A_23_P60002","203584_at","203584_at","A_23_P60002","203584_at","203584_at","203584_at",0.219249311022834,-0.0787639214426134,0.119510153320547,0.00100955206588863,0.0912659436149834
"LUM","ILMN_1790529","26119","A_24_P270279","201744_s_at","201744_s_at","A_23_P99063","201744_s_at","201744_s_at","201744_s_at",0.221531794734328,-0.0803994234048538,0.121991734819836,0.00102643721107537,0.0912659436149834
"RGCC","ILMN_1658494","17355","A_24_P10137","218723_s_at","218723_s_at","A_24_P10137","218723_s_at","218723_s_at","218723_s_at",0.218227344145719,-0.0788742574393471,0.119677568447231,0.0010585781855465,0.0912659436149834
"PRKAA2","ILMN_1668778","2488","A_23_P60811","227892_at","207709_at","A_32_P94160","227892_at","207709_at","207709_at",-0.22605353877671,0.0789868339182971,-0.11984838310467,0.00105999625401458,0.0912659436149834
"TJAP1","ILMN_1743763","18709","A_23_P81811","47608_at","47608_at","A_23_P81811","47608_at","47608_at","47608_at",-0.220253349436947,0.0791833191694386,-0.120146514305592,0.00106807430900757,0.0912659436149834
"ABCA1","ILMN_1766054","23438","A_24_P235429","203505_at","203505_at","A_24_P235429","203505_at","203505_at","203505_at",0.217596677066009,-0.0790486316729295,0.119942150136523,0.00107208042797679,0.0912659436149834
"RAD21","ILMN_1748578","9245","A_23_P20463","200608_s_at","200608_s_at","A_23_P20463","200608_s_at","200608_s_at","200608_s_at",0.220814494036871,-0.0784886629070709,0.119092497759689,0.00108654895855564,0.0912659436149834
"CDK10","ILMN_1700611","9854","A_24_P65199","203469_s_at","210622_x_at","A_23_P152245","203469_s_at","210622_x_at","210622_x_at",-0.222766096075616,0.0791616947865926,-0.120113703175038,0.00108951463422216,0.0912659436149834
"CHGA","ILMN_1669410","17975","A_32_P27046","204697_s_at","204697_s_at","A_32_P27046","204697_s_at","204697_s_at","204697_s_at",-0.23401057544035,0.0799054020201426,-0.121242145790378,0.00112527137396254,0.0912659436149834
"COQ10B","ILMN_1751615","19818","A_23_P102037","219397_at","219397_at","A_23_P102037","219397_at","219397_at","219397_at",0.218960617234193,-0.0787549020354232,0.119496467984464,0.00113373204463581,0.0912659436149834
"FSD1","ILMN_1694755","9281","A_23_P153651","219170_at","219170_at","A_23_P153651","219170_at","219170_at","219170_at",-0.220222417765309,0.0779874783175154,-0.118332039848978,0.00117493919742688,0.0912659436149834
"TBKBP1","ILMN_1808846","9129","A_23_P130169","205424_at","205424_at","A_23_P130169","205424_at","205424_at","205424_at",-0.216343954444144,0.0769641539448086,-0.116779328271914,0.0011884275365629,0.0912659436149834
"CTDP1","ILMN_1815759","21867","A_23_P101111","205035_at","205035_at","A_23_P101111","205035_at","205035_at","205035_at",-0.219653911239678,0.0784442543262599,-0.119025115686727,0.00119095674661085,0.0912659436149834
"NAV2","ILMN_1675151","21196","A_23_P52727","218330_s_at","218330_s_at","A_23_P52727","218330_s_at","218330_s_at","218330_s_at",-0.214655553711162,0.0784083145943867,-0.11897058357624,0.00119679847499471,0.0912659436149834
"MTTP","ILMN_1774742","17183","A_23_P213171","205675_at","205675_at","A_23_P213171","205675_at","205675_at","205675_at",-0.254211128586742,0.0797064071924796,-0.120940206756258,0.00120813265498498,0.0912659436149834
"UBE2V2","ILMN_1770515","11116","A_24_P406514","209096_at","209096_at","A_24_P406514","209096_at","209096_at","209096_at",0.221498284680592,-0.0780238948426049,0.118387295407832,0.0012104047892539,0.0912659436149834
"CELSR3","ILMN_1691290","6131","A_23_P92093","40020_at","40020_at","A_23_P92093","40020_at","40020_at","40020_at",-0.227034027589369,0.0790961781606251,-0.120014293421548,0.00121918696895121,0.0912659436149834
"CACNA1F","ILMN_1659138","22831","A_23_P148327","208377_s_at","208377_s_at","A_23_P148327","208377_s_at","208377_s_at","208377_s_at",-0.225522806269497,0.0785385045844185,-0.119168123584209,0.00123230595022688,0.0912659436149834
"EHD4","ILMN_1720083","27384","A_23_P163458","209536_s_at","209536_s_at","A_23_P163458","209536_s_at","209536_s_at","209536_s_at",0.214229582173672,-0.0777770365907672,0.118012732194304,0.00123369820500205,0.0912659436149834
"GUCA1A","ILMN_1662086","18546","A_23_P122414","231700_at","206062_at","A_23_P122414","231700_at","206062_at","206062_at",-0.221972028726088,0.0759260957206667,-0.115204260712421,0.0012629220553017,0.0915085676554743
"HAPLN2","ILMN_1678788","20462","A_23_P149232","220142_at","220142_at","A_23_P149232","220142_at","220142_at","220142_at",-0.219952384662645,0.0798592820753094,-0.121172167028818,0.00126477516048727,0.0915085676554743
"COPS7A","ILMN_1758412","4369","A_23_P2474","209029_at","209029_at","A_23_P2474","209029_at","209029_at","209029_at",0.211588299268181,-0.0765442022630906,0.11614212675947,0.00129200762893394,0.091635282387575
"RNF14","ILMN_1714461","19695","A_24_P132039","201824_at","201824_at","A_23_P255317","201824_at","201824_at","201824_at",0.215477190318736,-0.0779330909716573,0.118249516786095,0.00130497930931857,0.091635282387575
"HNF1A","ILMN_1724682","26728","A_24_P372913","210515_at","210515_at","A_23_P36757","210515_at","210515_at","210515_at",-0.219738598430514,0.0783895537334426,-0.118942117327647,0.00130828015559418,0.091635282387575
"NDUFAF1","ILMN_1754421","2893","A_23_P26254","204125_at","204125_at","A_23_P26254","204125_at","204125_at","204125_at",0.213037770382183,-0.0783975633296773,0.118954270456347,0.00135017791697278,0.0931220883634124
"SCRG1","ILMN_1726204","1205","A_23_P167159","205475_at","205475_at","A_23_P167159","205475_at","205475_at","205475_at",0.212189445533591,-0.0807393210085072,0.122507468597204,0.00135858686423832,0.0931220883634124
"SRD5A2","ILMN_1788895","5614","A_23_P28186","206938_at","206938_at","A_23_P28186","206938_at","206938_at","206938_at",-0.229195822036222,0.0790425273427716,-0.119932887908085,0.00137248852562866,0.0931220883634124
"LEPREL1","ILMN_1657373","9298","A_23_P69179","218717_s_at","218717_s_at","A_23_P69179","218717_s_at","218717_s_at","218717_s_at",-0.215371059059463,0.0772310967282312,-0.117184366167315,0.00138989416992141,0.0931220883634124
"CTRL","ILMN_1664863","28712","A_23_P152199","214377_s_at","214377_s_at","A_23_P152199","214377_s_at","214377_s_at","214377_s_at",-0.213633256771524,0.0763173628305829,-0.115797938521232,0.00140312805079974,0.0931220883634124
"TMEM74B","ILMN_1751228","8470","A_23_P120504","219958_at","219958_at","A_23_P120504","219958_at","219958_at","219958_at",-0.220199849346639,0.0764081177240394,-0.115935642828392,0.00141436950734223,0.0931220883634124
